NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
CHN,1.0,70.51960674821152,28.823802745238005,15.686939660810191,26.00886434216332,201.94480214353177
USA,1.0,85.59333034215962,23.81639654978879,21.170992573090125,40.605941219280695,275.440794352722
JPN,1.0,38.79736881870754,17.270317732524113,7.158471519331519,14.368579566851905,195.2865982554595
BLR,0.0,14.43450698644731,13.616240335894343,0.24547999516589028,0.5727866553870773,89.77534502123457
CUB,0.0,20.139229223095175,12.310678049392749,2.6526271611091365,5.175924012593288,59.50909569977316
GER,1.0,46.95367831991935,11.368424296279551,10.809906961560937,24.77534706207886,227.7424854270121
KOR,1.0,37.93776616725573,10.809402334249636,10.107120558996376,17.021243274009723,104.6771140644893
AUS,1.0,30.940699887209355,8.739305675127465,7.4529567271251524,14.74843748495674,244.28785448125558
GBR,1.0,32.19794009611597,8.182767321676604,10.44157047499775,13.573602299441621,237.6797312170545
RUS,0.0,19.62022035985737,7.677081695152543,4.396287197200061,7.5468514675047675,247.73683515280345
FRA,1.0,30.809091706257682,7.511787633897075,7.903621976517064,15.393682095843541,230.42249601443484
THA,0.0,8.495107723126422,6.75265611026538,0.5227354838583126,1.2197161290027294,25.503070619820996
ARM,0.0,9.38866632423449,6.594686030131236,0.9937550588054652,1.800225235297788,12.575213429504092
UZB,0.5,11.326553292485633,6.0671050918671545,1.5901957947062617,3.669252405912216,37.77487113412125
ESP,0.5,20.7233138525442,5.851049887793547,4.9101161917611975,9.962147772989459,158.40737163996815
KAZ,0.0,18.713100224245586,5.612776729949774,8.986439370834544,4.113884123461269,58.63985112195004
AZE,0.0,9.588970411414229,5.463828710953452,2.3859777191987277,1.7391639812620492,29.360543985297515
ITA,1.0,23.192666963346895,5.382404550542832,5.171738117395719,12.638524295408345,192.87623444952897
NED,1.0,19.31682427946896,4.68528324363633,4.401743584322992,10.229797451509636,121.29338163385235
MEX,0.0,8.00683277028536,4.399215049097127,2.2545413494641884,1.3530763717240444,64.13392267243135
IRI,0.0,14.621526062948197,4.3458297882534875,3.699070636786001,6.576625637908709,17.388116521401425
CAN,0.5,19.396064902770874,4.155667017690361,5.617854223173751,9.622543661906763,187.01236781279528
ETH,0.0,15.668334715736835,3.722171350962823,2.81133293536823,9.134830429405781,1.796173621257093
PRK,0.0,6.75366120519287,3.614226654443005,3.064058679648415,0.07537587110145015,24.333450180915115
GRE,0.0,12.064981948560085,2.9697141583075037,2.4747617985895864,6.620505991662994,59.29379421688804
TJK,0.0,2.6855904661243435,2.662404099098377,0.006955910107789966,0.016230456918176588,4.881936791491089
BRA,0.0,9.786505422555486,2.457530096975753,2.7191536242708554,4.609821701308878,137.9337361200619
