NOC,Sport,Year,Gold,Silver,Bronze,No_Medal,Participants,Gold_per_Participant,Silver_per_Participant,Bronze_per_Participant,No_Medal_per_Participant,Weighted_Sum,Weighted_Sum_Diff
AFG,Athletics,1960,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,
AFG,Athletics,1996,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AFG,Athletics,2004,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AFG,Athletics,2008,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Athletics,2012,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Athletics,2016,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Athletics,2020,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Athletics,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing,1980,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,
AFG,Boxing,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AFG,Boxing,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AFG,Cycling Road,2024,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AFG,Hockey,1956,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,
AFG,Judo,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AFG,Judo,2012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AFG,Judo,2016,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Judo,2024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AFG,Shooting,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AFG,Swimming,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AFG,Swimming,2024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Taekwondo,2008,0,0,1,0,2,0.0,0.0,0.5,0.0,0.5,
AFG,Taekwondo,2012,0,0,1,0,2,0.0,0.0,0.5,0.0,0.5,0.0
AFG,Taekwondo,2020,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AFG,Wrestling,1960,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,
AFG,Wrestling,1964,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Wrestling,1968,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Wrestling,1972,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Wrestling,1980,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,
AFG,Wrestling,1988,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,
AFG,Wrestling,2004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
AHO,Athletics,1976,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,
AHO,Athletics,1984,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,
AHO,Athletics,1992,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,
