NOC,Year,Sport,Medal,Participants
AFG,1936,Hockey,No medal,13
AFG,1936,Athletics,No medal,3
AFG,1948,Football,No medal,11
AFG,1948,Hockey,No medal,14
AFG,1956,Hockey,No medal,12
AFG,1960,Wrestling,No medal,7
AFG,1960,Athletics,No medal,9
AFG,1964,Wrestling,No medal,8
AFG,1968,Wrestling,No medal,5
AFG,1972,Wrestling,No medal,8
AFG,1980,Wrestling,No medal,8
AFG,1980,Boxing,No medal,3
AFG,1988,Wrestling,No medal,5
AFG,1996,Athletics,No medal,2
AFG,2004,Athletics,No medal,2
AFG,2004,Wrestling,No medal,1
AFG,2004,Judo,No medal,1
AFG,2004,Boxing,No medal,1
AFG,2008,Athletics,No medal,2
AFG,2008,Taekwondo,Bronze,2
AFG,2012,Athletics,No medal,2
AFG,2012,Boxing,No medal,1
AFG,2012,Judo,No medal,1
AFG,2016,Judo,No medal,1
AFG,2016,Athletics,No medal,2
AFG,2020,Swimming,No medal,1
AFG,2020,Athletics,No medal,2
AFG,2020,Shooting,No medal,1
AFG,2024,Athletics,No medal,2
AFG,2024,Cycling Road,No medal,3
AFG,2024,Swimming,No medal,1
AFG,2024,Judo,No medal,1
AHO,1952,Football,No medal,11
AHO,1960,Weightlifting,No medal,5
AHO,1964,Fencing,No medal,1
AHO,1964,Weightlifting,No medal,3
AHO,1968,Fencing,No medal,3
AHO,1968,Weightlifting,No medal,2
AHO,1972,Shooting,No medal,1
AHO,1972,Weightlifting,No medal,1
AHO,1976,Judo,No medal,2
AHO,1976,Athletics,No medal,2
AHO,1984,Swimming,No medal,5
AHO,1984,Synchronized Swimming,No medal,4
AHO,1984,Athletics,No medal,4
AHO,1988,Sailing,Silver,1
AHO,1988,Shooting,No medal,1
AHO,1988,Swimming,No medal,2
AHO,1992,Shooting,No medal,1
AHO,1992,Athletics,No medal,1
AHO,1996,Shooting,No medal,2
AHO,1996,Swimming,No medal,1
AHO,1996,Athletics,No medal,1
AHO,1996,Judo,No medal,1
AHO,2000,Shooting,No medal,1
AHO,2000,Athletics,No medal,2
AHO,2000,Swimming,No medal,2
AHO,2000,Triathlon,No medal,1
AHO,2000,Equestrianism,No medal,1
AHO,2004,Athletics,No medal,2
AHO,2004,Equestrianism,No medal,1
AHO,2008,Swimming,No medal,1
AHO,2008,Shooting,No medal,1
AHO,2008,Athletics,No medal,2
AIN,2024,Swimming,No medal,7
AIN,2024,Rowing,Silver,2
AIN,2024,Cycling Road,No medal,7
AIN,2024,Wrestling,No medal,2
AIN,2024,Weightlifting,Bronze,2
AIN,2024,Shooting,No medal,2
AIN,2024,Taekwondo,No medal,1
AIN,2024,Trampoline Gymnastics,Gold,3
AIN,2024,Canoe Sprint,No medal,6
AIN,2024,Tennis,Silver,14
ALB,1972,Shooting,No medal,4
ALB,1972,Weightlifting,No medal,1
ALB,1992,Weightlifting,No medal,3
ALB,1992,Swimming,No medal,3
ALB,1992,Athletics,No medal,1
ALB,1992,Shooting,No medal,2
ALB,1996,Athletics,No medal,2
ALB,1996,Shooting,No medal,4
ALB,1996,Cycling,No medal,1
ALB,1996,Weightlifting,No medal,1
ALB,1996,Wrestling,No medal,1
ALB,2000,Athletics,No medal,2
ALB,2000,Shooting,No medal,2
ALB,2000,Weightlifting,No medal,1
ALB,2004,Athletics,No medal,2
ALB,2004,Swimming,No medal,2
ALB,2004,Wrestling,No medal,1
ALB,2004,Weightlifting,No medal,2
ALB,2008,Weightlifting,No medal,3
ALB,2008,Athletics,No medal,2
ALB,2008,Wrestling,No medal,2
ALB,2008,Swimming,No medal,2
ALB,2008,Shooting,No medal,2
ALB,2008,Judo,No medal,1
ALB,2012,Weightlifting,No medal,4
ALB,2012,Swimming,No medal,2
ALB,2012,Athletics,No medal,1
ALB,2012,Judo,No medal,1
ALB,2012,Shooting,No medal,2
ALB,2016,Weightlifting,No medal,2
ALB,2016,Athletics,No medal,2
ALB,2016,Swimming,No medal,2
ALB,2020,Weightlifting,No medal,2
ALB,2020,Judo,No medal,1
ALB,2020,Shooting,No medal,2
ALB,2020,Athletics,No medal,2
ALB,2020,Swimming,No medal,2
ALB,2020,Artistic Gymnastics,No medal,1
ALB,2024,Athletics,No medal,2
ALB,2024,Wrestling,Bronze,3
ALB,2024,Shooting,No medal,2
ALB,2024,Swimming,No medal,2
ALG,1964,Gymnastics,No medal,7
ALG,1968,Boxing,No medal,2
ALG,1968,Gymnastics,No medal,7
ALG,1972,Athletics,No medal,6
ALG,1972,Boxing,No medal,1
ALG,1980,Athletics,No medal,13
ALG,1980,Judo,No medal,3
ALG,1980,Wrestling,No medal,3
ALG,1980,Handball,No medal,14
ALG,1980,Football,No medal,14
ALG,1980,Boxing,No medal,2
ALG,1980,Swimming,No medal,10
ALG,1980,Weightlifting,No medal,3
ALG,1980,Fencing,No medal,1
ALG,1984,Boxing,Bronze,7
ALG,1984,Athletics,No medal,9
ALG,1984,Handball,No medal,15
ALG,1984,Weightlifting,No medal,2
ALG,1988,Athletics,No medal,15
ALG,1988,Handball,No medal,14
ALG,1988,Weightlifting,No medal,2
ALG,1988,Cycling,No medal,2
ALG,1988,Tennis,No medal,1
ALG,1988,Judo,No medal,5
ALG,1992,Athletics,Gold,9
ALG,1992,Weightlifting,No medal,2
ALG,1992,Swimming,No medal,2
ALG,1992,Wrestling,No medal,2
ALG,1992,Volleyball,No medal,10
ALG,1992,Judo,No medal,3
ALG,1996,Handball,No medal,16
ALG,1996,Weightlifting,No medal,3
ALG,1996,Fencing,No medal,2
ALG,1996,Wrestling,No medal,2
ALG,1996,Judo,No medal,6
ALG,1996,Rowing,No medal,1
ALG,1996,Swimming,No medal,3
ALG,2000,Swimming,No medal,4
ALG,2000,Rowing,No medal,2
ALG,2000,Judo,No medal,7
ALG,2000,Trampolining,No medal,1
ALG,2000,Wrestling,No medal,2
ALG,2000,Fencing,No medal,2
ALG,2000,Table Tennis,No medal,2
ALG,2000,Weightlifting,No medal,1
ALG,2004,Rowing,No medal,1
ALG,2004,Judo,No medal,11
ALG,2004,Fencing,No medal,10
ALG,2004,Swimming,No medal,10
ALG,2004,Weightlifting,No medal,2
ALG,2004,Wrestling,No medal,1
ALG,2004,Table Tennis,No medal,7
ALG,2004,Tennis,No medal,1
ALG,2008,Volleyball,No medal,10
ALG,2008,Rowing,No medal,3
ALG,2008,Judo,Silver,10
ALG,2008,Fencing,No medal,2
ALG,2008,Wrestling,No medal,3
ALG,2008,Cycling,No medal,1
ALG,2008,Swimming,No medal,6
ALG,2008,Table Tennis,No medal,1
ALG,2008,Badminton,No medal,1
ALG,2008,Weightlifting,No medal,1
ALG,2012,Volleyball,No medal,11
ALG,2012,Wrestling,No medal,3
ALG,2012,Weightlifting,No medal,1
ALG,2012,Taekwondo,No medal,1
ALG,2012,Swimming,No medal,1
ALG,2012,Fencing,No medal,2
ALG,2012,Cycling,No medal,1
ALG,2012,Rowing,No medal,1
