NOC,Athletics,Hockey,Wrestling,Boxing,Judo,Swimming,Cycling Road,Taekwondo,Shooting,Football,Sailing,Equestrian,Weightlifting,Synchronized Swimming,Fencing,Triathlon,Canoeing,Gymnastics,Tennis,Rowing,Cycling,Handball,Table Tennis,Volleyball,Badminton,Karate,Marathon Swimming,Basketball,Beach Volleyball,Rugby,Golf,Water Polo,Modern Pentathlon,Diving,Archery,Cycling BMX Racing,Cycling BMX Freestyle,Surfing,Skateboarding,Cycling Mountain Bike,Baseball,Artistic Swimming,Cycling Track,Softball,Breaking,Sport Climbing
AFG,23,12,42,5,4,2,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHO,14,0,0,0,3,11,0,0,7,11,9,2,11,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIN,0,0,2,0,0,7,7,1,2,0,0,0,3,0,0,0,6,13,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,16,0,9,0,3,15,0,0,20,0,0,0,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,192,0,35,101,61,44,5,1,6,32,6,0,21,0,33,0,4,38,2,14,6,59,13,31,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,15,0,0,1,6,10,0,0,12,0,5,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANG,31,0,0,7,16,47,0,0,3,0,11,0,0,0,0,0,9,0,0,3,0,113,0,0,0,0,0,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,100,0,0,3,0,10,0,0,0,0,11,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,160,665,56,103,76,216,2,16,105,458,205,144,25,4,151,8,56,83,118,161,153,75,17,155,0,0,1,182,18,53,5,14,17,9,3,3,8,1,2,1,0,0,0,0,0,0
ARM,20,0,91,24,9,13,0,1,11,0,0,0,58,0,0,0,2,30,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ARU,9,0,0,2,5,15,0,1,2,0,6,0,3,4,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASA,13,0,2,5,3,7,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AUS,1313,1168,91,138,95,3066,27,39,325,224,482,446,96,57,147,60,446,596,159,988,687,30,96,48,65,1,8,469,68,160,12,447,63,205,97,13,12,12,35,3,140,21,121,165,2,4
AUT,204,27,53,22,97,182,19,4,167,11,208,124,39,14,121,32,121,248,33,129,144,44,66,0,11,2,5,0,22,0,8,10,35,52,5,0,0,0,1,5,0,4,8,0,0,7
AZE,24,0,157,61,76,15,1,24,28,0,0,2,22,0,6,3,11,54,0,5,6,0,0,0,3,9,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
BAH,432,0,2,7,0,49,0,0,0,0,70,0,0,0,0,0,0,0,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BAN,30,0,0,0,0,17,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
BAR,118,0,0,9,5,40,0,0,8,0,15,0,2,1,0,2,0,7,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BDI,49,0,0,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,477,399,41,15,91,249,41,7,71,19,66,156,24,5,102,23,89,192,48,100,313,0,16,12,9,0,0,40,2,0,9,27,2,5,23,5,0,0,2,5,0,0,26,0,0,1
BEN,47,0,0,13,5,11,0,2,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BER,47,0,0,5,0,33,0,0,0,0,62,11,0,0,0,16,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BHU,1,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
BIH,24,0,1,0,10,21,0,2,20,0,0,0,1,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIZ,41,0,0,1,2,0,0,1,6,0,0,0,1,0,0,0,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,331,0,101,32,35,118,3,0,112,16,21,7,78,8,24,0,156,377,50,102,39,0,28,0,6,0,0,22,0,0,0,0,18,19,16,0,0,0,0,0,0,2,2,0,0,0
BOL,43,0,1,1,6,26,0,0,20,0,0,3,3,0,4,0,2,5,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BOT,136,0,0,12,1,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,641,16,17,119,242,569,2,23,91,1000,332,207,29,33,70,27,90,369,63,90,92,192,78,936,6,0,15,321,168,52,3,80,28,45,29,3,1,21,35,5,0,0,0,0,0,0
BRN,119,0,9,1,1,16,0,0,10,0,5,0,3,0,7,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
BRU,8,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUL,374,0,481,167,37,151,0,2,205,126,11,68,246,2,41,0,199,1095,18,268,56,0,4,152,38,8,0,133,4,0,0,22,29,5,7,0,0,0,0,0,0,0,0,0,0,0
BUR,32,0,0,4,8,11,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,31,0,1,6,5,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAM,19,0,2,5,1,27,0,2,0,0,3,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1122,173,192,132,119,1265,15,19,197,313,230,345,78,145,241,47,416,881,84,1162,254,28,55,109,73,1,3,195,44,106,12,100,29,200,54,3,1,1,8,5,48,21,70,90,8,2
CAY,20,0,0,0,0,21,0,0,0,0,17,0,0,0,0,0,0,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGO,61,0,0,5,7,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,39,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
