NOC,Gold,Silver,Bronze
ALB,0,0,0
ALG,0,1,0
ANG,0,0,0
ANT,0,0,0
ARG,13,0,0
ARM,1,0,0
ARU,0,0,0
AUS,3,16,11
AUT,0,0,0
AZE,0,6,2
BAH,1,0,2
BAN,0,0,0
BAR,0,0,0
BDI,0,1,0
BEL,1,10,2
BER,0,0,0
BIH,0,0,0
BLR,0,0,5
BOL,0,0,0
BOT,0,0,0
BRA,9,1,3
BRN,0,0,0
BUL,0,0,4
BUR,0,0,0
CAF,0,0,0
CAM,0,0,0
CAN,2,2,16
CAY,0,0,0
CGO,0,0,0
CHI,0,0,0
CHN,16,7,13
CIV,0,0,1
CMR,0,0,0
COK,0,0,0
COL,3,1,0
COM,0,0,0
CPV,0,0,0
CRC,0,0,0
CRO,5,7,0
CUB,3,1,3
CYP,0,0,0
CZE,1,1,10
DEN,5,7,7
DJI,0,0,0
DOM,0,0,0
ECU,0,0,0
EGY,0,0,1
ERI,0,0,0
ESA,0,0,0
ESP,4,4,13
EST,0,0,4
ETH,0,1,3
FIJ,0,0,0
FIN,0,0,0
FRA,8,22,10
FSM,0,0,0
GAB,0,0,0
GBR,38,15,10
GBS,0,0,0
GEO,1,1,2
GEQ,0,0,0
GER,13,9,20
GRE,1,1,0
GRN,0,1,0
GUA,0,0,0
GUM,0,0,0
GUY,0,0,0
HAI,0,0,0
HKG,0,0,0
HON,0,0,0
HUN,5,0,2
INA,2,1,0
IND,0,0,0
IRI,2,1,3
IRL,0,1,0
ISL,0,0,0
ISR,0,0,0
ISV,0,0,0
ITA,3,17,7
IVB,0,0,0
JAM,4,5,0
JOR,0,0,0
JPN,6,5,17
KAZ,1,2,3
KEN,3,3,0
KGZ,0,0,0
KIR,0,0,0
KOR,1,0,6
KSA,0,0,0
LAO,0,0,0
LAT,0,0,0
LCA,0,0,0
LES,0,0,0
LIB,0,0,0
LIE,0,0,0
LTU,0,2,1
LUX,0,0,0
MAD,0,0,0
MAR,0,0,0
MAS,0,3,1
MDA,0,0,0
MDV,0,0,0
MEX,0,1,0
MGL,0,1,0
MHL,0,0,0
MKD,0,0,0
MLI,0,0,0
MLT,0,0,0
MNE,0,0,0
MON,0,0,0
MOZ,0,0,0
MRI,0,0,0
MTN,0,0,0
NAM,0,0,0
NCA,0,0,0
NED,4,15,5
NGR,0,0,0
NOR,0,0,13
NZL,5,5,2
OMA,0,0,0
PAN,0,0,0
PAR,0,0,0
PER,0,0,0
PHI,0,1,0
PLE,0,0,0
PLW,0,0,0
PNG,0,0,0
POL,3,1,4
POR,0,0,1
PRK,1,1,0
PUR,0,0,0
QAT,0,1,0
ROU,3,0,2
RSA,1,1,0
RUS,20,7,13
RWA,0,0,0
SEN,0,0,0
SEY,0,0,0
SGP,1,0,0
SKN,0,0,0
SLO,0,2,1
SMR,0,0,0
SOL,0,0,0
SOM,0,0,0
SRB,9,6,1
SRI,0,0,0
SUD,0,0,0
SUI,6,1,2
SUR,0,0,0
SVK,1,0,0
SWE,0,12,2
SWZ,0,0,0
SYR,0,0,0
TAN,0,0,0
TGA,0,0,0
THA,0,1,0
TJK,1,0,0
TLS,0,0,0
TOG,0,0,0
TPE,1,0,3
TTO,0,0,1
TUN,0,0,2
TUR,1,1,2
UAE,0,0,0
UGA,0,0,0
UKR,1,2,2
URU,0,0,0
USA,44,12,24
UZB,2,0,3
VAN,0,0,0
VEN,0,0,1
VIE,1,0,0
VIN,0,0,0
ZAM,0,0,0
ZIM,0,0,0
