NOC,Sport,Year,old,new
AHO,Athletics,1993,0,0
AHO,Sailing,1993,0,0
AHO,Shooting,1993,0,0
ALB,Athletics,1993,0,0
ALB,Shooting,1993,0,0
ALB,Swimming,1993,0,0
ALB,Weightlifting,1993,0,0
ALG,Athletics,1993,0,0
ALG,Boxing,1993,0,0
ALG,Judo,1993,0,0
ALG,Swimming,1993,0,0
ALG,Volleyball,1993,0,0
ALG,Weightlifting,1993,0,0
ALG,Wrestling,1993,0,0
AND,Athletics,1993,0,0
AND,Cycling,1993,0,0
AND,Judo,1993,0,0
AND,Sailing,1993,0,0
AND,Shooting,1993,0,0
ANG,Athletics,1993,0,0
ANG,Basketball,1993,0,0
ANG,Boxing,1993,0,0
ANG,Judo,1993,0,0
ANG,Sailing,1993,0,0
ANG,Swimming,1993,0,0
ANT,Athletics,1993,0,0
ANT,Cycling,1993,0,0
ANT,Sailing,1993,0,0
ARG,Athletics,1993,0,0
ARG,Boxing,1993,0,0
ARG,Canoeing,1993,0,0
ARG,Cycling,1993,0,0
ARG,Diving,1993,0,0
ARG,Fencing,1993,0,0
ARG,Gymnastics,1993,0,0
ARG,Hockey,1993,0,0
ARG,Judo,1993,0,0
ARG,Rowing,1993,0,0
ARG,Sailing,1993,0,0
ARG,Shooting,1993,0,0
ARG,Swimming,1993,0,0
ARG,Table Tennis,1993,0,0
ARG,Tennis,1993,0,0
ARG,Weightlifting,1993,0,0
ARG,Wrestling,1993,0,0
ARU,Athletics,1993,0,0
ARU,Cycling,1993,0,0
ARU,Sailing,1993,0,0
ASA,Boxing,1993,0,0
ASA,Weightlifting,1993,0,0
AUS,Archery,1993,0,0
AUS,Athletics,1993,0,0
AUS,Badminton,1993,0,0
AUS,Basketball,1993,0,0
AUS,Boxing,1993,0,0
AUS,Canoeing,1993,0,0
AUS,Cycling,1993,0,0
AUS,Diving,1993,0,0
AUS,Equestrian,1993,0,0
AUS,Fencing,1993,0,0
AUS,Football,1993,0,0
AUS,Gymnastics,1993,0,0
AUS,Hockey,1993,0,0
AUS,Judo,1993,0,0
AUS,Modern Pentathlon,1993,0,0
AUS,Rowing,1993,0,0
AUS,Sailing,1993,0,0
AUS,Shooting,1993,0,0
AUS,Swimming,1993,0,0
AUS,Synchronized Swimming,1993,0,0
AUS,Table Tennis,1993,0,0
AUS,Tennis,1993,0,0
AUS,Water Polo,1993,0,0
AUS,Weightlifting,1993,0,0
AUS,Wrestling,1993,0,0
AUT,Athletics,1993,0,0
AUT,Badminton,1993,0,0
AUT,Canoeing,1993,0,0
AUT,Cycling,1993,0,0
AUT,Diving,1993,0,0
AUT,Equestrian,1993,0,0
AUT,Fencing,1993,0,0
AUT,Handball,1993,0,0
AUT,Judo,1993,0,0
AUT,Rowing,1993,0,0
AUT,Sailing,1993,0,0
AUT,Shooting,1993,0,0
AUT,Swimming,1993,0,0
AUT,Synchronized Swimming,1993,0,0
AUT,Table Tennis,1993,0,0
AUT,Tennis,1993,0,0
AUT,Wrestling,1993,0,0
BAH,Athletics,1993,0,0
BAH,Sailing,1993,0,0
BAH,Swimming,1993,0,0
BAH,Tennis,1993,0,0
BAN,Athletics,1993,0,0
BAN,Shooting,1993,0,0
BAN,Swimming,1993,0,0
BAR,Athletics,1993,0,0
BAR,Boxing,1993,0,0
BAR,Cycling,1993,0,0
BAR,Sailing,1993,0,0
BAR,Shooting,1993,0,0
BEL,Archery,1993,0,0
BEL,Athletics,1993,0,0
BEL,Badminton,1993,0,0
BEL,Boxing,1993,0,0
BEL,Canoeing,1993,0,0
