序号,数量级
1,-0.8830765875410463
2,0.26143826716008106
3,0.6877312452085989
4,0.9695048511366294
5,-1.9242943493929219
6,-2.010690683303811
7,-1.9242943493929219
8,-1.955783768366957
9,-1.9242943493929219
10,-2.010690683303811
11,-0.6935197894585027
12,-1.7727305862279459
13,-0.6516372822640389
14,0.7527037731727193
15,-1.9242943493929219
16,0.21622774907253958
17,-0.8560661465791897
18,-2.1087164474426374
19,-1.9242943493929219
20,1.0531817644539785
21,0.9695048511366294
22,0.4069158886782784
23,0.9695048511366294
24,-1.9242943493929219
25,0.4849793010779005
26,-2.010690683303811
27,-4.505845405981558
28,-1.928885310323064
29,-1.7636392631950688
30,-1.2862649851732098
31,-1.539369909428838
32,-2.010690683303811
33,-1.9242943493929219
34,-1.0487837605398218
35,-1.9242943493929219
36,-1.8930915964719943
37,-1.8930915964719943
38,-2.010690683303811
39,-2.010690683303811
40,-1.928885310323064
41,-2.010690683303811
42,-0.23468080392449603
43,-1.9242943493929219
44,-1.9242943493929219
45,-1.9242943493929219
46,-1.9242943493929219
47,-2.1087164474426374
48,-1.9409179425464136
49,-1.9242943493929219
50,-1.349432133679649
51,-1.9242943493929219
52,0.2734694609864451
53,1.0015736531545634
54,-0.7832697971755075
55,-0.37862344244464013
56,-1.9242943493929219
57,-1.9242943493929219
58,-1.9242943493929219
59,-0.20150086551924387
60,-1.9242943493929219
61,-1.9242943493929219
62,-2.026961832850628
63,-2.010690683303811
64,-0.06336247459504027
65,-1.9242943493929219
66,0.5853764403374644
67,-2.010690683303811
68,-1.8930915964719943
69,-1.0487837605398218
70,-1.9242943493929219
71,-2.010690683303811
72,0.26143826716008106
73,0.4849793010779005
74,-2.010690683303811
75,-1.9717940254253468
76,-1.9242943493929219
77,-0.32327462038151106
78,-1.9242943493929219
79,-2.026961832850628
80,-1.9095632210436246
81,0.6478127331022345
82,0.45534424549839553
83,0.09667709019536218
84,-2.8353156006982143
85,0.2767716387975756
86,-1.9242943493929219
87,0.3121588445604238
88,-2.010690683303811
89,0.45120576916016636
90,-0.3854942269743998
91,-2.010690683303811
92,-1.9242943493929219
93,-1.9090462574897895
94,-1.9242943493929219
95,0.9695048511366294
96,-1.928885310323064
97,-1.9242943493929219
98,0.7017127417576229
99,-1.9242943493929219
100,-0.2709218728562226
101,-0.8560661465791897
102,-2.1087164474426374
103,-0.8192304779117029
104,-2.010690683303811
105,-2.010690683303811
106,-1.9242943493929219
107,0.4749971596297893
108,-1.9242943493929219
109,-1.9242943493929219
110,-2.120128590850848
111,-0.5043930869308164
112,-1.9242943493929219
113,0.39519397965444486
114,-1.9242943493929219
115,-1.9242943493929219
116,-1.9242943493929219
117,-1.9242943493929219
118,-2.010690683303811
119,-1.9242943493929219
120,-0.150150123834896
121,0.30858153744439476
122,0.18299447492797363
123,-1.7714311410359083
124,-1.9242943493929219
125,-1.9242943493929219
126,-0.7463552056638072
127,-2.010690683303811
128,0.6877312452085989
129,-1.9242943493929219
130,-2.010690683303811
131,-1.9242943493929219
132,0.4661870977635979
133,-1.9242943493929219
134,-1.9242943493929219
135,0.1583561685406002
136,-0.12366750751732934
137,-0.6245756320683598
138,-2.1087164474426374
139,-1.9242943493929219
140,-1.9242943493929219
141,-1.9242943493929219
142,-2.1087164474426374
143,-2.010690683303811
144,-0.035777296306412514
145,-2.010690683303811
146,-2.010690683303811
147,-4.920818753952375
148,0.13238317590798648
149,-1.9299733697522818
150,-1.9242943493929219
151,-2.010690683303811
152,-2.367482882556337
153,-1.7740813241845077
154,0.09667709019536218
155,-1.9242943493929219
156,-1.928885310323064
157,-2.010690683303811
158,-1.9242943493929219
159,-1.9242943493929219
160,-0.20150086551924387
161,-2.026961832850628
162,-2.010690683303811
163,-1.9242943493929219
164,-2.010690683303811
165,-1.8627374103236138
166,-2.8353156006982143
167,-1.928885310323064
168,-1.9242943493929219
169,-2.010690683303811
170,-1.9242943493929219
171,-0.38060155420756847
172,-2.010690683303811
173,0.937018319850664
174,0.3954641184283863
175,-2.010690683303811
176,-1.9242943493929219
177,-2.010690683303811
178,-1.9242943493929219
179,-0.8519389716455393
180,-1.9242943493929219
181,-1.9242943493929219
182,-1.9242943493929219
183,0.21622774907253958
184,0.7524957635283617
185,-0.8560661465791897
186,-0.2709218728562226
187,-2.010690683303811
188,-2.010690683303811
189,-4.480172006224281
190,-1.9242943493929219
191,-2.010690683303811
192,-2.010690683303811
193,-1.9242943493929219
194,-1.9242943493929219
195,-1.9242943493929219
196,0.1008271872393221
197,-1.9242943493929219
198,0.18299447492797363
199,-1.9090462574897895
200,-2.010690683303811
201,0.3784448125760924
202,-2.026961832850628
203,0.6164494990274947
204,-2.026961832850628
205,-1.0487837605398218
206,-1.9242943493929219
207,-1.0487837605398218
208,-4.480172006224281
209,0.5052142107450673
210,-0.9308366437495976
211,0.26143826716008106
212,-1.9242943493929219
213,0.6877312452085989
214,-2.010690683303811
215,0.8196205733329007
216,-1.9242943493929219
217,-1.9409179425464136
218,0.2455414625577652
219,-1.9242943493929219
220,-2.1087164474426374
221,-0.7832697971755075
222,-1.7740813241845077
223,-0.23468080392449603
224,-4.536107011014093
225,0.5702393499791395
226,-1.9242943493929219
227,-1.9242943493929219
228,0.3956890562823015
229,-0.12491183666213224
230,-1.9242943493929219
231,-1.082423906263145
232,-2.010690683303811
233,0.5706532083111681
234,-2.010690683303811
235,0.08955085633888615
236,-1.9242943493929219
237,0.6149590690768238
238,0.35314912905476764
239,-2.9637912322276407
240,-1.9242943493929219
241,-1.9095632210436246
242,-0.35768329858805487
243,-0.23468080392449603
244,-1.9242943493929219
245,-1.9242943493929219
246,0.6877312452085989
247,-1.9242943493929219
248,0.6877312452085989
249,-4.480172006224281
250,-2.010690683303811
251,-0.05866438190049686
252,-1.9242943493929219
253,-1.928885310323064
254,-0.8560661465791897
255,-4.505845405981558
256,-1.9242943493929219
257,0.937018319850664
258,-4.536107011014093
259,-1.9242943493929219
260,-1.928885310323064
261,-2.010690683303811
262,-2.367482882556337
263,-1.9242943493929219
264,-2.010690683303811
265,-2.010690683303811
266,-1.9242943493929219
267,0.2767716387975756
268,-1.9242943493929219
269,-0.5991576690675365
270,-0.9997175572448742
271,-0.5991576690675365
272,-2.010690683303811
273,0.6149590690768238
274,-2.010690683303811
275,-1.9242943493929219
