NOC,Total
Afghanistan,2583
Albania,944
Algeria,907
Argentina,1519
Armenia,680
Australasia,591
Australia,1081
Austria,980
Azerbaijan,423
Bahamas,409
Bahrain,346
Barbados,337
Belarus,320
Belgium,590
Bermuda,276
Bohemia,244
Botswana,224
Brazil,414
Bulgaria,366
Burkina Faso,170
Burundi,168
Cabo Verde,164
Cameroon,153
Canada,283
Ceylon,128
Chile,124
China,112
Chinese Taipei,103
Colombia,102
Costa Rica,98
Croatia,94
Cuba,87
Cyprus,85
Czech Republic,84
Czechoslovakia,159
Denmark,150
Djibouti,74
Dominica,72
Dominican Republic,72
East Germany,71
Ecuador,61
Egypt,116
Eritrea,49
Estonia,48
Ethiopia,89
Fiji,41
Finland,81
Formosa,40
FR Yugoslavia,39
France,77
Gabon,37
Georgia,37
Germany,72
Ghana,64
Great Britain,62
Greece,60
Grenada,30
Guatemala,30
Guyana,29
Haiti,27
Hong Kong,27
Hungary,50
Iceland,25
Independent Olympic Athletes,24
Independent Olympic Participants,22
India,40
Indonesia,20
Iran,40
Iraq,20
Ireland,40
Israel,20
Italy,40
Ivory Coast,20
Jamaica,20
Japan,20
JapanÂ ,20
Jordan,20
Kazakhstan,20
Kenya,20
Kosovo,20
Kuwait,20
Kyrgyzstan,20
Latvia,20
LatviaÂ ,20
Lebanon,20
Lithuania,20
Luxembourg,20
Macedonia,20
Malaysia,20
Mauritius,20
Mexico,20
MexicoÂ ,20
Mixed team,20
Moldova,20
Mongolia,20
Montenegro,20
Morocco,20
MoroccoÂ ,20
Mozambique,20
Namibia,20
Netherlands,20
Netherlands Antilles,20
NetherlandsÂ ,20
New Zealand,20
New ZealandÂ ,20
Niger,20
Nigeria,20
North Korea,20
North Macedonia,20
Norway,20
NorwayÂ ,20
Pakistan,20
PakistanÂ ,20
Panama,20
Paraguay,20
Peru,20
Philippines,20
PhilippinesÂ ,20
Poland,20
PolandÂ ,20
Portugal,20
PortugalÂ ,20
Puerto Rico,20
Qatar,20
Refugee Olympic Team,20
ROC,20
Romania,20
RomaniaÂ ,20
Russia,20
Russian Empire,20
Saint Lucia,20
Samoa,20
San Marino,20
Saudi Arabia,20
Senegal,20
Serbia,20
Serbia and Montenegro,20
Singapore,20
SingaporeÂ ,20
Slovakia,20
Slovenia,20
South Africa,20
South AfricaÂ ,20
South Korea,20
Soviet Union,20
Soviet UnionÂ ,20
Spain,20
SpainÂ ,20
Sri Lanka,20
Sudan,20
Suriname,20
Sweden,20
SwedenÂ ,20
Switzerland,20
SwitzerlandÂ ,20
Syria,20
Taiwan,20
Tajikistan,20
Tanzania,20
Thailand,20
Togo,20
Tonga,20
Trinidad and Tobago,20
Tunisia,20
Turkey,20
TurkeyÂ ,20
Turkmenistan,20
Uganda,20
Ukraine,20
Unified Team,20
United Arab Emirates,20
United States,20
United StatesÂ ,20
United Team of Germany,20
United Team of GermanyÂ ,20
Uruguay,20
UruguayÂ ,20
Uzbekistan,20
Venezuela,20
VenezuelaÂ ,20
Vietnam,20
Virgin Islands,20
West Germany,20
Yugoslavia,20
YugoslaviaÂ ,20
Zambia,20
Zimbabwe,20
,1519
