Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss
Ulrike (-nasse),Athletics,Athletics Women's High Jump,FRG,1984,Gold,1,10,1972,28,1.231343066,4,1.56912447,0.05,18.65526968
Bernd Jkel,Sailing,Sailing Mixed Three Person Keelboat,GER,1996,Gold,1,10,1988,24,3.9628086,4,0.852208967,0.05,18.50418471
Thomas Flach,Sailing,Sailing Mixed Three Person Keelboat,GER,1996,Gold,1,10,1988,24,3.9628086,4,0.852208967,0.05,18.50418471
Francis Thompson,Athletics,Athletics Men's Decathlon,GBR,1988,No medal,1,1,1976,28,1,5.113780528,2.702895999,0.127037543,17.97202895
Jon Rnningen,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",NOR,1996,No medal,1,1,1984,28,1,5.113780528,2.702895999,0.127037543,17.97202895
Kosuke Kitajima,Swimming,Swimming Men's 100 metres Breaststroke,JPN,2012,No medal,1,1,2000,28,1,5.113780528,2.702895999,0.127037543,17.97202895
Kosuke Kitajima,Swimming,Swimming Men's 200 metres Breaststroke,JPN,2012,No medal,1,1,2000,28,1,5.113780528,2.702895999,0.127037543,17.97202895
Lin Dan,Badminton,Badminton Men's Singles,CHN,2016,No medal,1,1,2004,28,1,5.113780528,2.702895999,0.127037543,17.97202895
Pieter Hoogenband,Swimming,Swimming Men's 100 metres Freestyle,NED,2008,No medal,1,1,1996,28,1,5.113780528,2.702895999,0.127037543,17.97202895
Takashi Ono,Gymnastics,Gymnastics Men's Horizontal Bar,JPN,1964,No medal,1,1,1952,28,1,5.113780528,2.702895999,0.127037543,17.97202895
Tomasz Majewski,Athletics,Athletics Men's Shot Put,POL,2016,No medal,1,1,2004,28,1,5.113780528,2.702895999,0.127037543,17.97202895
Waldemar Baszanowski,Weightlifting,Weightlifting Men's Lightweight,POL,1972,No medal,1,1,1960,28,1,5.113780528,2.702895999,0.127037543,17.97202895
Venus Williams,Tennis,Tennis Women's Doubles,USA,2016,No medal,1,1,2000,32,3.329325525,4,1.354704052,0.087269331,17.96725431
Abdullah Ardabili,Wrestling,"Wrestling Men's Lightweight, Freestyle",IRI,1972,No medal,1,1,1964,24,1,4,1.80507535,0.09221679,17.40667722
Adrian Moorhouse,Swimming,Swimming Men's 100 metres Breaststroke,GBR,1992,No medal,1,1,1984,24,1,4,1.80507535,0.09221679,17.40667722
Agneta Andersson,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",SWE,1988,No medal,1,1,1980,24,1,4,1.80507535,0.09221679,17.40667722
Ahmed Al-maktoum,Shooting,Shooting Men's Double Trap,UAE,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Albert Hill,Equestrian,"Equestrian Men's Three-Day Event, Team",GBR,1960,No medal,1,1,1952,24,1,4,1.80507535,0.09221679,17.40667722
Alberto Danger,Athletics,Athletics Men's 400 metres,CUB,1980,No medal,1,1,1972,24,1,4,1.80507535,0.09221679,17.40667722
Alejandro Garca,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,ESP,1984,No medal,1,1,1976,24,1,4,1.80507535,0.09221679,17.40667722
Aleksandra Ivoev,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",SCG,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Alin Moldoveanu,Shooting,"Shooting Men's Air Rifle, 10 metres",ROU,2016,No medal,1,1,2008,24,1,4,1.80507535,0.09221679,17.40667722
Attila Repka,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",HUN,1996,No medal,1,1,1988,24,1,4,1.80507535,0.09221679,17.40667722
Borys Shakhlin,Gymnastics,Gymnastics Men's Horse Vault,URS,1964,No medal,1,1,1956,24,1,4,1.80507535,0.09221679,17.40667722
Borys Shakhlin,Gymnastics,Gymnastics Men's Parallel Bars,URS,1964,No medal,1,1,1956,24,1,4,1.80507535,0.09221679,17.40667722
Brice Guyart,Fencing,"Fencing Men's Foil, Individual",FRA,2008,No medal,1,1,2000,24,1,4,1.80507535,0.09221679,17.40667722
Charles Austin,Athletics,Athletics Men's High Jump,USA,2000,No medal,1,1,1992,24,1,4,1.80507535,0.09221679,17.40667722
Christoph Hhne,Athletics,Athletics Men's 50 kilometres Walk,GDR,1972,No medal,1,1,1964,24,1,4,1.80507535,0.09221679,17.40667722
Constantina Di-tomescu,Athletics,Athletics Women's Marathon,ROU,2012,No medal,1,1,2004,24,1,4,1.80507535,0.09221679,17.40667722
Csaba Fenyvesi,Fencing,"Fencing Men's epee, Individual",HUN,1976,No medal,1,1,1968,24,1,4,1.80507535,0.09221679,17.40667722
Daniel Montero,Athletics,Athletics Men's 20 kilometres Walk,ESP,1996,No medal,1,1,1988,24,1,4,1.80507535,0.09221679,17.40667722
Daniel Morelon,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",FRA,1972,No medal,1,1,1964,24,1,4,1.80507535,0.09221679,17.40667722
David Rigert,Weightlifting,Weightlifting Men's Middle-Heavyweight,URS,1980,No medal,1,1,1972,24,1,4,1.80507535,0.09221679,17.40667722
